accuracy_pct,99.81975933532803
avg_dollar_error,0.4776872442376597
bias,0,-0.006601837726530591
bias,1,-0.005797414081628429
bias,2,-0.0052702088115089895
bias,3,-0.004915869806072134
bias,4,-0.004612851327548466
bias,5,-0.0043902398319952355
bias,6,-0.004215102398485917
bias,7,-0.0040253179250129365
bias,8,-0.0038435291811058083
bias,9,-0.0037291809223548426
w,0,332,-0.00015659125974024548
w,0,333,0.00030412258078134396
w,0,334,-0.0014498697859241954
w,0,335,-0.0029047824728987855
w,0,336,-0.00015094125930612746
w,0,337,-0.00018449448931090175
w,0,338,-0.0002535685902877413
w,0,339,-0.00019462997694560903
w,0,340,0.0003220664349244953
w,0,341,-0.0013341255512769443
w,0,342,-0.0025519207831177057
w,0,343,-0.00008941671663220361
w,0,344,-0.00017617844376206218
w,0,345,-0.00016178564821161447
w,0,346,-0.00017000670117157008
w,0,347,0.000073435802490732
w,0,348,-0.00031100977666790653
w,0,349,-0.0019957024010176707
w,0,350,0.000017920521662660447
w,0,351,-0.00012329776710332308
w,0,352,-0.00010076421530603174
w,0,353,-0.000042126829600952025
w,0,354,0.00023194173309599357
w,0,355,-0.0013248495250389265
w,0,356,-0.0014263397900582528
w,0,357,-0.000041687409525360315
w,0,358,0.000008368591002067743
w,0,359,-0.00005715164963915587
w,0,360,-0.000060146029332502644
w,0,361,0.00012776217715141177
w,0,362,-0.00038719544572569085
w,0,363,-0.003425482591799028
w,0,364,0.00003428148898870257
w,0,365,-0.0000638391610936806
w,0,366,-0.00005098807055619442
w,0,367,-0.0000814851626729174
w,0,368,-0.000020384312114861818
w,0,369,0.000030816635842334125
w,0,370,-0.0018767182048682882
w,0,371,-0.00002364423881605877
w,0,372,0.00002928909863557612
w,0,373,-0.000023748101062644978
w,0,374,-0.00004200494694781294
w,0,375,-0.000204120186809697
w,0,376,-0.00015429995261261476
w,0,377,-0.00345551405114955
w,0,378,0.000019279805482216086
w,0,379,-0.000020819663180228166
w,0,380,0.00007499379647799027
w,0,381,0.0000026397473006710758
w,0,382,0.000024443744993095696
w,0,383,0.0006705842997722313
w,0,384,-0.002483131816550199
w,0,385,0.00009843910746688586
w,0,386,0.00006070045892480086
w,0,387,0.00014751850882581928
w,0,388,0.00003076431307152094
w,0,389,-0.000020960843717323077
w,0,390,0.001347344052456847
w,0,391,-0.0025076308369903636
w,0,392,0.00014645908451178306
w,0,393,0.0000844778607888634
w,0,394,0.0001470626457172648
w,0,395,0.00007797834993114395
w,0,396,-0.00014356434125658925
w,0,397,0.0006231266529155662
w,0,398,-0.00225416562041848
w,0,399,0.00024206856096967448
w,0,400,0.00017502006943841884
w,0,401,0.0002854089195466901
w,0,402,0.00023085202657668796
w,0,403,-0.00015360247060665976
w,0,404,0.0004066807389991017
w,0,405,-0.002200997379145213
w,0,406,0.00026822837968674284
w,0,407,0.0002655054246095743
w,0,408,0.00032372955120466067
w,0,409,0.0002456256973819198
w,0,410,-0.00007892198054882458
w,0,411,0.0007655859008376792
w,0,412,-0.0028732074863868887
w,0,413,0.00035036311790597
w,0,414,0.0002828041039192022
w,0,415,0.0002982805558937335
w,0,416,0.0003104545588981011
w,0,417,-0.0003027513448908698
w,0,418,-0.0006067023046890372
w,0,419,-0.002195423906736829
w,0,420,0.0003564598945674018
w,0,421,0.00034496327537450634
w,0,422,0.0003806723481112625
w,0,423,0.0002976570003896534
w,0,424,-0.00010094649160451349
w,0,425,0.0008419529226118468
w,0,426,-0.0027813198297591923
w,0,427,0.00035740452687330396
w,0,428,0.0003464512431576276
w,0,429,0.0004051263128422799
w,0,430,0.0003638183344267545
w,0,431,-0.00012718838679012543
w,0,432,0.0002090847160191697
w,0,433,-0.0027869961648370146
w,0,434,0.00036521492132343144
w,0,435,0.0003282683125907804
w,0,436,0.00033471179462433347
w,0,437,0.00029125709925794145
w,0,438,-0.00016180098550498524
