accuracy_pct,100
avg_dollar_error,0.0000000000000056843418860808026
bias,0,-0.00044269632736477474
bias,1,-0.00047928891198333767
bias,2,-0.0005430225072967912
bias,3,-0.0004638818999945053
bias,4,-0.00026517785217943906
bias,5,0.000015682550363024367
bias,6,-0.0000004982782985689738
bias,7,0.00016251725978704365
bias,8,0.00014914007018507384
bias,9,0.00018463062113613395
w,0,379,0.0017823230868009132
w,0,380,0.0017147268212254986
w,0,381,0.001804241182748667
w,0,382,-0.0019024188211259154
w,0,383,0.00015942958049205974
w,0,384,-0.001115019008569676
w,0,385,0.0016907088900142157
w,0,386,0.0017036663259232716
w,0,387,0.0016651366327491966
w,0,388,0.0017672400704112756
w,0,389,-0.00039444425681043347
w,0,390,-0.0003826816866140554
w,0,391,0.00044569204828327216
w,0,392,0.0016091715136552162
w,0,393,0.001690430695812758
w,0,394,0.0015954679605395834
w,0,395,0.0016535700308460148
w,0,396,-0.0026905390609591605
w,0,397,0.0004703155769513178
w,0,398,-0.0007709899939372925
w,0,399,0.0017280538257335085
w,0,400,0.0016350823777323295
w,0,401,0.0016452300317025773
w,0,402,0.0017104268183255403
w,0,403,-0.0017996435696817337
w,0,404,0.0005275299248268553
w,0,405,0.0007617286013689839
w,0,406,0.0017668132971873022
w,0,407,0.0017351881420923213
w,0,408,0.0016499345066879761
w,0,409,0.0018140955413094453
w,0,410,0.0004954784073340875
w,0,411,-0.0003791214311693185
w,0,412,-0.000157873533852138
w,0,413,0.0018373770442750492
w,0,414,0.0017875352770450788
w,0,415,0.001748693659099958
w,0,416,0.0019201287686896236
w,0,417,0.0006783062136523751
w,0,418,-0.00028248853054646766
w,0,419,0.000615955793555607
w,0,420,0.001674833679056511
w,0,421,0.0018142049029847105
w,0,422,0.0017255918018573122
w,0,423,0.0018025367836840306
w,0,424,0.002486578859402845
w,0,425,0.0005153352973117179
w,0,426,-0.0016375177398911234
w,0,427,0.0018010467582658144
w,0,428,0.0016933705473965103
w,0,429,0.0017396521949050064
w,0,430,0.0017789339493587885
w,0,431,-0.0006286294156886242
w,0,432,0.0007659164080715613
w,0,433,0.0017529425669569336
w,0,434,0.0017364043200429236
w,0,435,0.0018017824351395629
w,0,436,0.001646561378553794
w,0,437,0.001828223441523443
w,0,438,-0.0007653025780251396
w,0,439,-0.00041893188246122203
w,0,440,-0.0010631936355771437
w,0,441,0.0017745177402219987
w,0,442,0.0017236140364094107
w,0,443,0.0016785551714376303
w,0,444,0.0018159025200474431
w,0,445,-0.0004311506541572108
w,0,446,-0.0004028595623308749
w,0,447,0.0017340549924463283
w,0,448,0.001850607687988149
w,0,449,0.001781297068908398
w,0,450,0.0017859397619810712
w,0,451,0.0018900766627048917
w,0,452,0.0029230163957013984
w,0,453,-0.00011404933247783496
w,0,454,-0.0007315804436292847
w,0,455,0.0016894360747278464
w,0,456,0.0018088073208239732
w,0,457,0.0017105870024480966
w,0,458,0.0017789710222853815
w,0,459,0.0009490182233108875
w,0,460,0.0009563812980566095
w,0,461,-0.0011294374473846322
w,0,462,0.0016276537537011373
w,0,463,0.0017381486335216506
w,0,464,0.0016454835516733215
w,0,465,0.00176033385910871
w,0,466,0.0015969668648219768
w,0,467,0.00007258857679212395
w,0,468,-0.0015161640006905778
w,0,469,0.001768801524949514
w,0,470,0.0016322706872658253
w,0,471,0.0017067463330384925
w,0,472,0.001782044451114111
w,0,473,-0.0006589146402059242
w,0,474,-0.00018015378518663902
w,0,475,0.0010413692422154685
w,0,476,0.0018729405454460128
w,0,477,0.0017627520407466062
w,0,478,0.0018047626827003697
w,0,479,0.0019131943519331445
w,0,480,-0.0012483672211319667
w,0,481,0.00025588584809446355
w,0,482,0.002464610706840513
w,0,483,0.0017461913632554871
w,0,484,0.001867366535294272
w,0,485,0.0017624887049341141
w,0,486,0.0018013689463645453
w,0,487,-0.0008175794779461313
w,0,488,0.00045105205782448827
w,0,489,-0.00045521469487041464
w,0,490,0.0018476965658677784
w,0,491,0.0017574189988477122
w,0,492,0.001799882492564562
w,0,493,0.001813105860445925
w,0,494,-0.0008770986432612719
w,0,495,0.0005269293977614697
w,0,496,0.00026283616541532555
w,0,497,0.0018399967567968275
w,0,498,0.0018480207135383635
w,0,499,0.0018434686651218474
w,0,500,0.0018219188853881077
w,0,501,0.000054591938856588955
w,0,502,0.001311645473301859
w,0,503,0.0013690998690756037
w,0,504,0.0017662882435169264
w,0,505,0.0018095100757727642
w,0,506,0.0017708940287309717
w,0,507,0.0018410784703183913
w,0,508,-0.00010480676558622966
w,0,509,0.00033585689631964827
w,0,510,-0.0003745907524852972
w,0,511,0.0017935157032764582
w,0,512,0.0017885625710802968
w,0,513,0.0016975190611229856
w,0,514,0.001813521634540946
w,0,515,-0.0027613104224181507
w,0,516,-0.00009686876645064276
w,0,517,-0.0001652121324670163
w,0,518,0.0017012858435297394
w,0,519,0.0018248053901621889
w,0,520,0.0017098890362077434
w,0,521,0.0017448659602381073
w,0,522,0.00040483723986825017
w,0,523,0.00047823403768498704
w,0,524,-0.0009576685842793159
w,0,525,0.0015905772479772988
w,0,526,0.0017116776247190042
w,0,527,0.0016086180594271269
w,0,528,0.0015473600803170497
w,0,529,-0.0007350476623523207
w,0,530,0.0013659502250246334
w,0,531,-0.00028655144953609375
w,0,532,0.0015953380396022052
w,0,533,0.0015465299036946678
w,0,534,0.0015541327339055483
w,0,535,0.0015268077082336636
w,0,536,-0.002949157615143277
w,0,537,0.0009327548848207582
w,0,538,0.0012668105488824286
w,0,539,0.001400294691229064
w,0,540,0.0016057762100547966
w,0,541,0.0014548864469352866
w,0,542,0.0014898397526076905
w,0,543,-0.002475009994141813
w,0,544,-0.00044002570660072794
w,0,545,-0.0025850482776744407
w,0,546,0.0015525835644019906
w,0,547,0.0014113402553765462
w,0,548,0.0014839586206968913
w,0,549,0.0015084159442575644
w,0,550,-0.0008428659552302207
w,0,551,0.0006331232965185714
w,0,552,0.0011059037756057082
w,0,553,0.0015901965409437931
w,0,554,0.001583260010080322
w,0,555,0.0015000227723989147
w,0,556,0.0016647534864976381
w,0,557,-0.0005386854040566613
w,0,558,-0.00034730504808627027
w,0,559,0.0008045380743446418
w,0,560,0.0016082540240989864
w,0,561,0.0015584604070125888
w,0,562,0.0015743930486492013
w,0,563,0.001537017553843881
w,0,564,0.00007558987127014968
w,0,565,0.001697047075326017
w,0,566,-0.0008371886335615893
w,0,567,0.0017374459591356975
w,0,568,0.0016377327830027503
w,0,569,0.0017113110134258868
w,0,570,0.001705148665546205
w,0,571,-0.0035645797632323163
w,0,572,0.0012539222778120765
w,0,573,0.0001387612200445595
w,0,574,0.0017879052911013976
w,0,575,0.0017322592594093125
w,0,576,0.0017247517436928268
w,0,577,0.001856321510198133
w,0,578,-0.001850162671356209
